date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:32:20	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Jul%202010%2015:32:19%20GMT	http://www.coptic.org/robots.txt		(from )
08:32:20	13686/13686	U-----	200	untouched ('OK')	text/html	date:Wed,%2027%20Jan%202010%2017:12:48%20GMT	http://www.coptic.org/language/index2.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index2.html	(from )
08:32:22	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2015%20Jul%202010%2015:32:21%20GMT	http://tagtag.com/site/emulator/emulator_public.js	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/tagtag.com/site/emulator/emulator_public.1.delayed	(from )
08:32:22	892/892	---M--	200	added ('OK')	application/javascript	date:Mon,%2012%20Oct%202009%2007:30:52%20GMT	http://tagtag.com/js/emulator/emulator_public.js	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/tagtag.com/js/emulator/emulator_public.js	(from )
08:32:23	6909/6909	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202010%2020:46:04%20GMT	http://www.coptic.org/language/index.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index.html	(from )
08:32:24	11192/11192	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202010%2017:12:47%20GMT	http://www.coptic.org/language/index1.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index1.html	(from )
08:32:25	5799/5799	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202010%2017:12:49%20GMT	http://www.coptic.org/language/index3.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index3.html	(from )
08:32:25	5875/5875	---M--	200	added ('OK')	text/html	date:Thu,%2028%20Jan%202010%2018:11:55%20GMT	http://www.coptic.org/language/index4.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index4.html	(from )
08:32:26	9130/9130	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202010%2017:12:52%20GMT	http://www.coptic.org/language/index5.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index5.html	(from )
08:32:29	78922/78922	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202009%2018:55:07%20GMT	http://www.coptic.org/language/title.jpg	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/title.jpg	(from )
08:32:31	58677/58677	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:42%20GMT	http://www.coptic.org/language/Isaak.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Isaak.htm	(from )
08:32:33	44340/44340	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:45%20GMT	http://www.coptic.org/language/kamy.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/kamy.html	(from )
08:32:35	3413/3413	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:05%20GMT	http://www.coptic.org/language/onnophrios.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/onnophrios.html	(from )
08:32:36	27095/27095	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:19%20GMT	http://www.coptic.org/language/Shenoute.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Shenoute.html	(from )
08:32:36	7371/7371	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:52%20GMT	http://www.coptic.org/language/Archellides.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Archellides.html	(from )
08:32:37	35488/35488	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:51%20GMT	http://www.coptic.org/language/antioch.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/antioch.htm	(from )
08:32:38	10918/10918	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:45%20GMT	http://www.coptic.org/language/petros.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/petros.htm	(from )
08:32:39	33077/33077	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:52%20GMT	http://www.coptic.org/language/apanoub.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/apanoub.htm	(from )
08:32:40	6394/6394	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:15%20GMT	http://www.coptic.org/language/Pachoam.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Pachoam.html	(from )
08:32:42	61323/61323	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:49%20GMT	http://www.coptic.org/language/pirwmeoc.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pirwmeoc.html	(from )
08:32:43	20528/20528	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:03:23%20GMT	http://www.coptic.org/language/Mercurs1.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Mercurs1.htm	(from )
08:32:44	14334/14334	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:44%20GMT	http://www.coptic.org/language/Paul.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Paul.html	(from )
08:32:45	129197/129197	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:57%20GMT	http://www.coptic.org/language/athanasanthony.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/athanasanthony.html	(from )
08:32:47	89180/89180	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:22%20GMT	http://www.coptic.org/language/passio.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/passio.html	(from )
08:32:49	17098/17098	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:55:39%20GMT	http://www.coptic.org/language/carpenter.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/carpenter.html	(from )
08:32:51	40846/40846	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:47%20GMT	http://www.coptic.org/language/phanidjoit.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/phanidjoit.html	(from )
08:33:00	319542/319542	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:04:15%20GMT	http://www.coptic.org/language/overview.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/overview.pdf	(from )
08:33:10	111222/111222	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:04:58%20GMT	http://www.coptic.org/language/pisentnotes.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pisentnotes.pdf	(from )
08:33:11	6762/6762	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:03:24%20GMT	http://www.coptic.org/language/michel.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/michel.html	(from )
08:33:11	1907/1907	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:58%20GMT	http://www.coptic.org/language/Kimi.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Kimi.htm	(from )
08:33:11	261733/261733	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:04:55%20GMT	http://www.coptic.org/language/pisent.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pisent.pdf	(from )
